0 1 2
1047881649210515458 0 34
1047881249111646213 14318 102781
1047859791291400192 6 460
1047679489327734785 312347 0
1047660227607314432 23 592
1047550660164636672 0 20
1047516707995234304 15199 122774
1047452268067528704 2 17
1047281460732989440 36 2750
1047280821042905089 14751 106973
1047260924602720256 21 577
1047175614669750272 0 101
1047159723886346241 5 895
1047159295199125504 2 533
1047158881514926081 54 2819
1047158593794052097 8083 63770
1046965073326034944 2469 47147
1046919086322667520 15 555
1046834363403579393 85 1911
1046795571774803970 0 31
1046795516682620928 13 1663
1046795163450974214 60279 296164
1046566169086447617 3 379
1046563191340380161 7781 77850
1046166828823851009 3 428
1046165852859633664 7780 78427
1046140550079025154 0 5
1046137587377868800 7 200
1046078141138161664 0 8
1045895464808304640 0 199
1045813065533595648 7 377
1045726170644443137 4758 38266
1045469863232372738 33722 0
1045403974319386625 95 1821
1045320815607263232 0 35
1045109106577682433 0 196
1045104421963788290 0 159
1045102713636360192 0 173
1045102146830704641 302 4845
1045060187671994368 2 573
1045059214538932228 5 897
1045058704138280960 20512 130882
1044803012978446337 1 143
1044742056109854721 0 29
1044741719277932544 12833 111874
1044638367718273025 135 4481
1044389636573925376 4 584
1044388506569707520 5 471
1044388137949155328 12795 90199
1044345254055485440 11 256
1044273377236652032 56 303
1044265740180901888 2 656
1044256489483980800 6 1481
1044255261324660744 20158 138516
1044248866558791680 0 86
1044248673553711104 0 11
1044064655512150016 0 14
1044007784382156801 18 1649
1043991403980881920 28846 0
1043624741154770945 93 3399
1043588365633900544 16 1839
1043587851911421952 7723 66273
1043525701373251584 1 50
1043348201477218305 43 2685
1043240102200324098 0 41
1043238652283895808 0 28
1043211627171119104 572 6795
1043207397802688513 38 3389
1043207152079450113 10 1510
1043205164709163008 5728 35671
1043144804828364800 36 585
1042932879796396038 3 833
1042930295505399808 1 853
1042927905507033089 10170 89869
1042898580040757250 0 6
1042874773276123136 49 1226
1042856974986227715 5 55
1042813684194701313 1 274
1042813303960096770 3 504
1042812955467964416 6691 64817
1042790341039087616 0 8
1042634783191441409 0 75
1042591439010652162 0 312
1042551849520427008 0 2
1042550928547696641 0 73
1042543834486456320 0 9
1042542628498223104 0 210
1042540308062515200 0 34
1042539358765699073 1 103
1042538473431998464 0 4
1042538001660878848 3 271
1042537951874433024 0 2
1042537511841673216 741 8549
1042450753485455360 0 186
1042447293314678786 1 4
1042445594265038849 0 377
1042443680379035649 27632 179086
1042427288783073280 1 7
1042422110671515649 0 7
1042421903179296770 5 50
1042203634111590400 15 955
1042186611956613120 3 345
1042179611650662400 0 26
1042179330867191808 8928 62251
1042063320516321280 0 43
1042052845023965185 14 109
1041912292789682176 13 1423
1041846259664015360 6 611
1041844320805052417 21 1448
1041843530388398081 7880 74117
1041733781189746689 7854 75648
1041722004074913794 1 27
1041720473464254465 25 759
1041488696296525824 71 2569
1041487387703107585 14184 132572
1041431359506604033 6 491
1041395605967396864 6 832
1041390933462405121 9 814
1041386871656472578 8 527
1041381925045395456 21 888
1041068594912784389 0 23
1041019629278318594 105 1187
1040998815950688256 10054 79542
1040738349269622786 1 57
1040657235926568960 0 14
1040651195780661248 805 0
1040643554790572034 1 294
1040641939782156288 3 324
1040640810813931521 243 4579
1040640352938590208 6124 20266
1040443439354204161 16 728
